"TipLabel","Brain_Size_mL","Body_Mass_g","Cooperative","Sociality","Territoriality","Diet","Diet_Simple","Foraging_Niche","Foraging_Niche_Simple","Migration","Dev_Mode","Clade","CladeFit"
"Struthio_camelus",40.23,111000,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.301570989,"Struthioniformes","Background"
"Casuarius_unappendiculatus",29.86,36600,"NonCooperative","2","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Rhea_americana",18.88,23000,"Cooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Rheiformes","Background"
"Casuarius_casuarius",36.35,44000,"NonCooperative","2","strong","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Dromaius_novaehollandiae",28.88,34200,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Casuariiformes","Background"
"Meleagris_ocellata",5.84,5525,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.301570989,"Galliformes","Galliformes"
"Meleagris_gallopavo",8.21,6050,"NonCooperative","2","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.301570989,"Galliformes","Galliformes"
"Cygnus_olor",16.64,11800,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Chauna_torquata",7.07,4400,"NonCooperative","3","strong","AquaticPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",1.438408071,"Anseriformes","Anseriformes"
"Pavo_cristatus",6.86,4194,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.178939818,"Galliformes","Galliformes"
"Centrocercus_urophasianus",4,2208.8,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cygnus_buccinator",20.29,11100,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Goura_victoria",5.43,2954,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Chloephaga_picta",6.34,3105,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
"Tetrao_urogallus",6.14,2950,"NonCooperative","2","none","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cygnus_cygnus",19.5,9350,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.322328449,"Anseriformes","Anseriformes"
"Otis_tarda",8.46,4000,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","PartiallyMigratory",1.438408071,"Otidiformes","Background"
"Coscoroba_coscoroba",9.16,4327,"NonCooperative","3","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Cygnus_atratus",12.15,5650,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","PartiallyMigratory",2.322328449,"Anseriformes","Anseriformes"
"Gallus_varius",3.12,1450,"NonCooperative","2","weak","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Cereopsis_novaehollandiae",8.83,3980,"NonCooperative","3","weak","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Podiceps_major",3.69,1646,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","Migratory",1.438408071,"Podicipediformes","Podicipediformes"
"Tachyeres_pteneres",10.63,4725,"NonCooperative","3","weak","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",2.332707179,"Anseriformes","Anseriformes"
"Crax_rubra",9.56,4133,"NonCooperative","3","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Aptenodytes_patagonicus",27.9,11751,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticDive","Aquatic","PartiallyMigratory",-0.610111037,"Sphenisciformes","Background"
"Cygnus_columbianus",17.35,7285.9,"NonCooperative","3","weak","AquaticPlants","PlantsSeeds","AquaticSurface","Aquatic","Migratory",2.311949719,"Anseriformes","Anseriformes"
"Crax_fasciolata",6.29,2600,"NonCooperative","3","weak","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",1.438408071,"Galliformes","Galliformes"
"Neotis_denhami",12.25,4827.8,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.438408071,"Otidiformes","Background"
"Pelecanus_onocrotalus",29.29,11450,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","AquaticSurface","Aquatic","PartiallyMigratory",-1.210694015,"Pelecaniformes","Pelecaniformes"
"Goura_scheepmakeri",5.75,2236.5,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Ardeotis_australis",11.65,4450,"NonCooperative","1","none","Generalist","Generalist","GroundForaging","GroundForaging","Sedentary",1.438408071,"Otidiformes","Background"
"Goura_cristata",5.27,2000,"NonCooperative","3","none","Fruit","FruitNectar","GroundForaging","GroundForaging","Sedentary",-1.077891071,"Columbiformes","Columbiformes"
"Crossoptilon_crossoptilon",5.88,2137.5,"NonCooperative","3","strong","TerrestrialPlants","PlantsSeeds","GroundForaging","GroundForaging","Sedentary",2.332707179,"Galliformes","Galliformes"
"Vultur_gryphus",31.56,11300,"NonCooperative","3","none","Ca","Vertebrates","GroundForaging","GroundForaging","PartiallyMigratory",-0.578863373,"Accipitriformes","Accipitriformes"
"Cairina_moschata",7.35,2625,"NonCooperative","2","none","AquaticAnimals","AquaticAnimals","GroundForaging","GroundForaging","Sedentary",2.332707179,"Anseriformes","Anseriformes"
